Team1,Team1Score,Team2,Team2Score,Team1Win
Charlotte Hornets,119,Brooklyn Nets,110,1
Utah Jazz,100,Dallas Mavericks,114,0
Sacramento Kings,100,Miami Heat,123,0
Golden State Warriors,95,Memphis Grizzlies,123,0
Milwaukee Bucks,118,Philadelphia 76ers,116,1
Detroit Pistons,123,Brooklyn Nets,130,0
Los Angeles Lakers,110,Dallas Mavericks,128,0
Miami Heat,106,Boston Celtics,98,1
Milwaukee Bucks,120,Brooklyn Nets,119,1
Indiana Pacers,123,Boston Celtics,128,0
Phoenix Suns,114,Memphis Grizzlies,122,0
Los Angeles Clippers,153,Milwaukee Bucks,119,1
Charlotte Hornets,114,Philadelphia 76ers,144,0
Washington Wizards,102,Boston Celtics,144,0
Dallas Mavericks,118,Milwaukee Bucks,112,1
Houston Rockets,105,Brooklyn Nets,118,0
Charlotte Hornets,115,Miami Heat,144,0
Los Angeles Lakers,110,Phoenix Suns,121,0
Boston Celtics,121,Milwaukee Bucks,127,0
Cleveland Cavaliers,107,Brooklyn Nets,118,0
Atlanta Hawks,109,Miami Heat,113,0
Portland Trail Blazers,78,Dallas Mavericks,128,0
Indiana Pacers,120,Philadelphia 76ers,133,0
New Orleans Pelicans,114,Memphis Grizzlies,141,0
Indiana Pacers,126,Brooklyn Nets,134,0
Boston Celtics,139,Memphis Grizzlies,110,1
Detroit Pistons,106,Philadelphia 76ers,118,0
San Antonio Spurs,120,Dallas Mavericks,130,0
Sacramento Kings,116,Phoenix Suns,109,1
Cleveland Cavaliers,108,Brooklyn Nets,115,0
Utah Jazz,99,Dallas Mavericks,93,1
Minnesota Timberwolves,130,Memphis Grizzlies,117,1
Toronto Raptors,111,Philadelphia 76ers,131,0
Atlanta Hawks,91,Miami Heat,115,0
Brooklyn Nets,114,Boston Celtics,115,0
Chicago Bulls,86,Milwaukee Bucks,93,0
New Orleans Pelicans,99,Phoenix Suns,110,0
Toronto Raptors,97,Philadelphia 76ers,112,0
Utah Jazz,104,Dallas Mavericks,110,0
Atlanta Hawks,105,Miami Heat,115,0
Minnesota Timberwolves,96,Memphis Grizzlies,124,0
New Orleans Pelicans,125,Phoenix Suns,114,1
Brooklyn Nets,107,Boston Celtics,114,0
Chicago Bulls,114,Milwaukee Bucks,110,1
Boston Celtics,109,Brooklyn Nets,103,1
Boston Celtics,116,Brooklyn Nets,112,1
Toronto Raptors,103,Philadelphia 76ers,88,1
Utah Jazz,77,Dallas Mavericks,102,0
Atlanta Hawks,94,Miami Heat,97,0
Minnesota Timberwolves,109,Memphis Grizzlies,111,0
New Orleans Pelicans,97,Phoenix Suns,112,0
Chicago Bulls,100,Milwaukee Bucks,116,0
Milwaukee Bucks,101,Boston Celtics,89,1
Golden State Warriors,117,Memphis Grizzlies,116,1
Philadelphia 76ers,92,Miami Heat,106,0
Dallas Mavericks,114,Phoenix Suns,121,0
Milwaukee Bucks,86,Boston Celtics,109,0
Golden State Warriors,101,Memphis Grizzlies,106,0
Philadelphia 76ers,103,Miami Heat,119,0
Dallas Mavericks,109,Phoenix Suns,129,0
Miami Heat,79,Philadelphia 76ers,99,0
Phoenix Suns,94,Dallas Mavericks,103,0
Boston Celtics,101,Milwaukee Bucks,103,0
Phoenix Suns,101,Dallas Mavericks,111,0
Miami Heat,108,Philadelphia 76ers,116,0
Boston Celtics,116,Milwaukee Bucks,108,1
Philadelphia 76ers,85,Miami Heat,120,0
Dallas Mavericks,80,Phoenix Suns,110,0
Milwaukee Bucks,110,Boston Celtics,107,1
Golden State Warriors,95,Memphis Grizzlies,134,0
Miami Heat,99,Philadelphia 76ers,90,1
Phoenix Suns,86,Dallas Mavericks,113,0
Boston Celtics,108,Milwaukee Bucks,95,1
Milwaukee Bucks,81,Boston Celtics,109,0
Dallas Mavericks,123,Phoenix Suns,90,1
Boston Celtics,107,Miami Heat,118,0
