Team1,Team1Score,Team2,Team2Score
Portland Trail Blazers,123,Memphis Grizzlies,119
Houston Rockets,121,Phoenix Suns,124
Washington Wizards,117,Brooklyn Nets,103
Philadelphia 76ers,123,Milwaukee Bucks,120
Boston Celtics,129,Brooklyn Nets,106
New Orleans Pelicans,117,Phoenix Suns,102
San Antonio Spurs,129,Miami Heat,133
Brooklyn Nets,126,Milwaukee Bucks,123
Utah Jazz,118,Phoenix Suns,114
Toronto Raptors,133,Brooklyn Nets,97
Chicago Bulls,99,Miami Heat,112
San Antonio Spurs,105,Memphis Grizzlies,118
Charlotte Hornets,106,Milwaukee Bucks,130
Atlanta Hawks,98,Boston Celtics,107
New York Knicks,108,Philadelphia 76ers,123
Miami Heat,119,Milwaukee Bucks,120
Portland Trail Blazers,90,Phoenix Suns,120
Memphis Grizzlies,107,Boston Celtics,120
Miami Heat,113,Brooklyn Nets,107
Golden State Warriors,113,Dallas Mavericks,122
Cleveland Cavaliers,119,Philadelphia 76ers,125
New York Knicks,114,Phoenix Suns,115
Sacramento Kings,113,Dallas Mavericks,114
Orlando Magic,96,Memphis Grizzlies,124
Philadelphia 76ers,82,Miami Heat,99
Brooklyn Nets,120,Boston Celtics,126
Phoenix Suns,122,Milwaukee Bucks,132
Chicago Bulls,106,Philadelphia 76ers,121
Houston Rockets,106,Miami Heat,123
Utah Jazz,103,Dallas Mavericks,111
New Orleans Pelicans,111,Memphis Grizzlies,132
Phoenix Suns,111,Miami Heat,90
Atlanta Hawks,115,Milwaukee Bucks,124
New York Knicks,107,Dallas Mavericks,77
Brooklyn Nets,129,Philadelphia 76ers,100
Detroit Pistons,103,Boston Celtics,114
New York Knicks,114,Memphis Grizzlies,118
Cleveland Cavaliers,105,Miami Heat,117
Toronto Raptors,117,Phoenix Suns,112
Minnesota Timberwolves,113,Miami Heat,104
New York Knicks,107,Brooklyn Nets,110
Dallas Mavericks,95,Boston Celtics,92
Los Angeles Lakers,111,Phoenix Suns,140
Denver Nuggets,114,Philadelphia 76ers,110
Detroit Pistons,98,Miami Heat,105
Dallas Mavericks,113,Brooklyn Nets,111
Dallas Mavericks,101,Philadelphia 76ers,111
Portland Trail Blazers,123,Brooklyn Nets,128
Oklahoma City Thunder,108,Miami Heat,120
Chicago Bulls,102,Phoenix Suns,129
Toronto Raptors,93,Philadelphia 76ers,88
Utah Jazz,106,Brooklyn Nets,114
Miami Heat,106,Philadelphia 76ers,113
Minnesota Timberwolves,108,Dallas Mavericks,110
Chicago Bulls,98,Milwaukee Bucks,126
Utah Jazz,97,Boston Celtics,125
Brooklyn Nets,120,Memphis Grizzlies,132
Golden State Warriors,118,Miami Heat,104
Houston Rockets,91,Dallas Mavericks,110
Indiana Pacers,103,Memphis Grizzlies,133
Washington Wizards,102,Milwaukee Bucks,114
New York Knicks,111,Miami Heat,103
Milwaukee Bucks,102,Memphis Grizzlies,127
Brooklyn Nets,110,Miami Heat,95
Minnesota Timberwolves,112,Boston Celtics,134
Philadelphia 76ers,104,Phoenix Suns,114
Charlotte Hornets,119,Brooklyn Nets,110
Utah Jazz,100,Dallas Mavericks,114
Sacramento Kings,100,Miami Heat,123
Golden State Warriors,95,Memphis Grizzlies,123
Milwaukee Bucks,118,Philadelphia 76ers,116
Detroit Pistons,123,Brooklyn Nets,130
Los Angeles Lakers,110,Dallas Mavericks,128
Miami Heat,106,Boston Celtics,98
Milwaukee Bucks,120,Brooklyn Nets,119
Indiana Pacers,123,Boston Celtics,128
Phoenix Suns,114,Memphis Grizzlies,122
Los Angeles Clippers,153,Milwaukee Bucks,119
Charlotte Hornets,114,Philadelphia 76ers,144
Washington Wizards,102,Boston Celtics,144
Dallas Mavericks,118,Milwaukee Bucks,112
Houston Rockets,105,Brooklyn Nets,118
Charlotte Hornets,115,Miami Heat,144
Los Angeles Lakers,110,Phoenix Suns,121
Boston Celtics,121,Milwaukee Bucks,127
Cleveland Cavaliers,107,Brooklyn Nets,118
Atlanta Hawks,109,Miami Heat,113
Portland Trail Blazers,78,Dallas Mavericks,128
Indiana Pacers,120,Philadelphia 76ers,133
New Orleans Pelicans,114,Memphis Grizzlies,141
Indiana Pacers,126,Brooklyn Nets,134
Boston Celtics,139,Memphis Grizzlies,110
Detroit Pistons,106,Philadelphia 76ers,118
San Antonio Spurs,120,Dallas Mavericks,130
Sacramento Kings,116,Phoenix Suns,109
Cleveland Cavaliers,108,Brooklyn Nets,115
Utah Jazz,99,Dallas Mavericks,93
Minnesota Timberwolves,130,Memphis Grizzlies,117
Toronto Raptors,111,Philadelphia 76ers,131
Atlanta Hawks,91,Miami Heat,115
Brooklyn Nets,114,Boston Celtics,115
Chicago Bulls,86,Milwaukee Bucks,93
New Orleans Pelicans,99,Phoenix Suns,110
Toronto Raptors,97,Philadelphia 76ers,112
Utah Jazz,104,Dallas Mavericks,110
Atlanta Hawks,105,Miami Heat,115
Minnesota Timberwolves,96,Memphis Grizzlies,124
New Orleans Pelicans,125,Phoenix Suns,114
Brooklyn Nets,107,Boston Celtics,114
Chicago Bulls,114,Milwaukee Bucks,110
Boston Celtics,109,Brooklyn Nets,103
Boston Celtics,116,Brooklyn Nets,112
Toronto Raptors,103,Philadelphia 76ers,88
Utah Jazz,77,Dallas Mavericks,102
Atlanta Hawks,94,Miami Heat,97
Minnesota Timberwolves,109,Memphis Grizzlies,111
New Orleans Pelicans,97,Phoenix Suns,112
Chicago Bulls,100,Milwaukee Bucks,116
Milwaukee Bucks,101,Boston Celtics,89
Golden State Warriors,117,Memphis Grizzlies,116
Philadelphia 76ers,92,Miami Heat,106
Dallas Mavericks,114,Phoenix Suns,121
Milwaukee Bucks,86,Boston Celtics,109
Golden State Warriors,101,Memphis Grizzlies,106
Philadelphia 76ers,103,Miami Heat,119
Dallas Mavericks,109,Phoenix Suns,129
Miami Heat,79,Philadelphia 76ers,99
Phoenix Suns,94,Dallas Mavericks,103
Boston Celtics,101,Milwaukee Bucks,103
Phoenix Suns,101,Dallas Mavericks,111
Miami Heat,108,Philadelphia 76ers,116
Boston Celtics,116,Milwaukee Bucks,108
Philadelphia 76ers,85,Miami Heat,120
Dallas Mavericks,80,Phoenix Suns,110
Milwaukee Bucks,110,Boston Celtics,107
Golden State Warriors,95,Memphis Grizzlies,134
Miami Heat,99,Philadelphia 76ers,90
Phoenix Suns,86,Dallas Mavericks,113
Boston Celtics,108,Milwaukee Bucks,95
Milwaukee Bucks,81,Boston Celtics,109
Dallas Mavericks,123,Phoenix Suns,90
Boston Celtics,107,Miami Heat,118
